algorithm,case_type,base_clean_size,n,r_size,r_prime_size,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout,code_version
BCNF-Index,pass,10000,11000,11000,10000,3,4,0.1,4,1,1000,1,0.021496099972864613,0.006263200019020587,0.029120499995769933,1.364898681640625,36.5546875,1.364898681640625,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,4,0,0.1,4,1,1000,0,0.0,48.42131039997912,48.61003229999915,2.657541275024414,31.74609375,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,4,1,0.1,4,1,1000,0,0.0,48.38652989998809,48.57295120001072,2.657541275024414,31.625,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,4,2,0.1,4,1,1000,0,0.0,48.8149151999969,49.00658570000087,2.657541275024414,31.65234375,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,4,3,0.1,4,1,1000,0,0.0,48.6920095999958,48.88538899997366,2.657541275024414,31.84375,2.657541275024414,True,False,68869e6
Singleton-FullScan,pass,10000,11000,11000,10000,4,4,0.1,4,1,1000,0,0.0,48.50964840000961,48.70404809998581,2.657541275024414,31.734375,2.657541275024414,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,4,0,0.1,4,1,1000,4,0.17320260000997223,0.00867319997632876,0.18353839998599142,5.6417236328125,36.7578125,5.6417236328125,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,4,1,0.1,4,1,1000,4,0.17501289999927394,0.008420400001341477,0.1849973000062164,5.641792297363281,36.7578125,5.641792297363281,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,4,2,0.1,4,1,1000,4,0.1734619000053499,0.008786199992755428,0.18369799997890368,5.641792297363281,36.8359375,5.641792297363281,True,False,68869e6
FD-Hash,pass,10000,11000,11000,10000,4,3,0.1,4,1,1000,4,0.1734782000130508,0.009147200005827472,0.18399449999560602,5.641792297363281,36.8359375,5.641792297363281,True,False,68869e6
