/*algorithm,case_type,n,seed,rep,conflict_ratio,fd_count,candidate_key_width,deleted_count,index_count,build_time_sec,check_time_sec,total_time_sec,python_peak_mb,rss_peak_mb,peak_memory_mb,result,timeout
FD-Hash,fail,1000,1,2,0.1,4,1,101,4,0.01817549999941548,0.0006226999994396465,0.019061400000282447,0.603118896484375,28.19140625,0.603118896484375,False,False
FD-Hash,fail,1000,1,3,0.1,4,1,101,4,0.017372899999827496,0.0006498000002466142,0.01827640000010433,0.603118896484375,28.19140625,0.603118896484375,False,False
FD-Hash,fail,1000,1,4,0.1,4,1,101,4,0.017095299999709823,0.0006191000011313008,0.01797719999922265,0.603118896484375,28.19140625,0.603118896484375,False,False
BCNF-Index,fail,1000,1,0,0.1,4,1,101,1,0.0019489999995130347,0.0050074000009772135,0.0071262000001297565,0.15470123291015625,28.3125,0.15470123291015625,False,False
BCNF-Index,fail,1000,1,1,0.1,4,1,101,1,0.0019253999998909421,0.004701300000306219,0.006822299999839743,0.154693603515625,28.3125,0.154693603515625,False,False
BCNF-Index,fail,1000,1,2,0.1,4,1,101,1,0.0021042999997007428,0.0049658999996609055,0.007268700001077377,0.15468597412109375,28.3125,0.15468597412109375,False,False
BCNF-Index,fail,1000,1,3,0.1,4,1,101,1,0.0023285999996005557,0.00492600000143284,0.007475300000805873,0.1546783447265625,28.3125,0.1546783447265625,False,False
BCNF-Index,fail,1000,1,4,0.1,4,1,101,1,0.0020719999993161764,0.004868899999564746,0.007136099999115686,0.15467071533203125,28.3125,0.15467071533203125,False,False
Singleton-FullScan,pass,1000,2,0,0.1,4,1,100,0,0.0,0.46727719999944384,0.4861653000007209,0.8854961395263672,27.4609375,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,2,1,0.1,4,1,100,0,0.0,0.47485600000072736,0.4945382999994763,0.8854961395263672,27.296875,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,2,2,0.1,4,1,100,0,0.0,0.468090200000006,0.4861048999991908,0.8854961395263672,27.49609375,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,2,3,0.1,4,1,100,0,0.0,0.4679114999999001,0.4866741000005277,0.8854961395263672,27.48828125,0.8854961395263672,True,False
Singleton-FullScan,pass,1000,2,4,0.1,4,1,100,0,0.0,0.46749669999917387,0.4867462999991403,0.8854961395263672,27.1484375,0.8854961395263672,True,False
FD-Hash,pass,1000,2,0,0.1,4,1,100,4,0.016581200001382967,0.0007136000003811205,0.01755579999917245,0.603118896484375,28.86328125,0.603118896484375,True,False
FD-Hash,pass,1000,2,1,0.1,4,1,100,4,0.01736720000008063,0.0007085000015649712,0.0183417999996891,0.603118896484375,28.41796875,0.603118896484375,True,False
FD-Hash,pass,1000,2,2,0.1,4,1,100,4,0.017619399999603047,0.000650399999358342,0.01854999999886786,0.603118896484375,28.41796875,0.603118896484375,True,False
FD-Hash,pass,1000,2,3,0.1,4,1,100,4,0.01685859999997774,0.0007232999996631406,0.01785799999925075,0.603118896484375,28.40625,0.603118896484375,True,False
FD-Hash,pass,1000,2,4,0.1,4,1,100,4,0.017131799999333452,0.0006959000002098037,0.018087299999024253,0.603118896484375,28.40625,0.603118896484375,True,False
BCNF-Index,pass,1000,2,0,0.1,4,1,100,1,0.0022117999997135485,0.006071800000427174,0.008484600000883802,0.15465545654296875,28.53515625,0.15465545654296875,True,False
BCNF-Index,pass,1000,2,1,0.1,4,1,100,1,0.0021268000000418397,0.005611200000203098,0.007941500000015367,0.1546478271484375,28.53515625,0.1546478271484375,True,False
BCNF-Index,pass,1000,2,2,0.1,4,1,100,1,0.002221699998699478,0.005693699999028468,0.00812200000109442,0.154632568359375,28.53515625,0.154632568359375,True,False
BCNF-Index,pass,1000,2,3,0.1,4,1,100,1,0.0020987000007153256,0.00550199999997858,0.007795999999871128,0.15462493896484375,28.53515625,0.15462493896484375,True,False
BCNF-Index,pass,1000,2,4,0.1,4,1,100,1,0.002698299998883158,0.005380099999456434,0.008304099999804748,0.1546173095703125,28.53515625,0.1546173095703125,True,False
Singleton-FullScan,fail,1000,2,0,0.1,4,1,101,0,0.0,0.3340176999990945,0.35206640000069456,0.8856649398803711,27.32421875,0.8856649398803711,False,False
Singleton-FullScan,fail,1000,2,1,0.1,4,1,101,0,0.0,0.1802131999993435,0.1986930000002758,0.8856649398803711,27.5234375,0.8856649398803711,False,False
